name,link,summary
3D,https://www.github.com/topics/3d,3Dmodelingistheprocessofvirtuallydevelopingthesurfaceandstructureofa3Dobject.
Ajax,https://www.github.com/topics/ajax,Ajaxisatechniqueforcreatinginteractivewebapplications.
Algorithm,https://www.github.com/topics/algorithm,Algorithmsareself-containedsequencesthatcarryoutavarietyoftasks.
Amp,https://www.github.com/topics/amphp,Ampisanon-blockingconcurrencylibraryforPHP.
Android,https://www.github.com/topics/android,AndroidisanoperatingsystembuiltbyGoogledesignedformobiledevices.
Angular,https://www.github.com/topics/angular,Angularisanopensourcewebapplicationplatform.
Ansible,https://www.github.com/topics/ansible,Ansibleisasimpleandpowerfulautomationengine.
API,https://www.github.com/topics/api,AnAPI(ApplicationProgrammingInterface)isacollectionofprotocolsandsubroutinesforbuildingsoftware.
Arduino,https://www.github.com/topics/arduino,Arduinoisanopensourcehardwareandsoftwarecompanyandmakercommunity.
ASP.NET,https://www.github.com/topics/aspnet,ASP.NETisawebframeworkforbuildingmodernwebappsandservices.
Atom,https://www.github.com/topics/atom,Atomisaopensourcetexteditorbuiltwithwebtechnologies.
Awesome Lists,https://www.github.com/topics/awesome,Anawesomelistisalistofawesomethingscuratedbythecommunity.
Amazon Web Services,https://www.github.com/topics/aws,AmazonWebServicesprovideson-demandcloudcomputingplatformsonasubscriptionbasis.
Azure,https://www.github.com/topics/azure,AzureisacloudcomputingservicecreatedbyMicrosoft.
Babel,https://www.github.com/topics/babel,"BabelisacompilerforwritingnextgenerationJavaScript,today."
Bash,https://www.github.com/topics/bash,BashisashellandcommandlanguageinterpreterfortheGNUoperatingsystem.
Bitcoin,https://www.github.com/topics/bitcoin,BitcoinisacryptocurrencydevelopedbySatoshiNakamoto.
Bootstrap,https://www.github.com/topics/bootstrap,"BootstrapisanHTML,CSS,andJavaScriptframework."
Bot,https://www.github.com/topics/bot,AbotisanapplicationthatrunsautomatedtasksovertheInternet.
C,https://www.github.com/topics/c,Cisageneralpurposeprogramminglanguagethatfirstappearedin1972.
Chrome,https://www.github.com/topics/chrome,ChromeisawebbrowserfromthetechcompanyGoogle.
Chrome extension,https://www.github.com/topics/chrome-extension,GoogleChromeExtensionsareadd-onsthatallowuserstocustomizetheirChromewebbrowser.
Command line interface,https://www.github.com/topics/cli,"ACLI,orcommand-lineinterface,isaconsolethathelpsusersissuecommandstoaprogram."
Clojure,https://www.github.com/topics/clojure,"Clojureisadynamic,general-purposeprogramminglanguage."
Code quality,https://www.github.com/topics/code-quality,"Automateyourcodereviewwithstyle,quality,security,andtest‑coveragecheckswhenyouneedthem."
Code review,https://www.github.com/topics/code-review,Ensureyourcodemeetsqualitystandardsandshipwithconfidence.
Compiler,https://www.github.com/topics/compiler,Compilersaresoftwarethattranslatehigher-levelprogramminglanguagestolower-levellanguages(e.g.machinecode).
Continuous integration,https://www.github.com/topics/continuous-integration,"Automaticallybuildandtestyourcodeasyoupushitupstream,preventingbugsfrombeingdeployedtoproduction."
COVID-19,https://www.github.com/topics/covid-19,Thecoronavirusdisease2019(COVID-19)isaninfectiousdiseasecausedbySARS-CoV-2.
C++,https://www.github.com/topics/cpp,C++isageneralpurposeandobject-orientedprogramminglanguage.
Cryptocurrency,https://www.github.com/topics/cryptocurrency,Acryptocurrencyisadigitalcurrencythatusescryptography.
Crystal,https://www.github.com/topics/crystal,"Crystalisaself-hosted,generalpurposeprogramminglanguage."
C#,https://www.github.com/topics/csharp,"C#(""Csharp"")isanobject-orientedandtype-safeprogramminglanguage."
